"id","name","encounter_number","encounter_set"
"c538b14d-67aa-466e-9d66-4b945e31ce1f","Repéré (Menace Potentielle)","38","730e2804-52e9-4a16-aa27-ee4f97527174"
"402d67f8-019a-43f2-a616-eb6913d7ee3e","Repéré (Menace Avérée)","40","730e2804-52e9-4a16-aa27-ee4f97527174"
"2956a478-3a0f-45e3-981c-32e0d48e9e08","Repéré (Menace Prioritaire)","42","730e2804-52e9-4a16-aa27-ee4f97527174"
"f7d15de2-7f8b-413c-8070-28b8e3fe1fc1","Des Loups dans la Bergerie","46","730e2804-52e9-4a16-aa27-ee4f97527174"
"90784938-58ab-4349-bfaf-b021b26b9ce1","Des Loups dans la Bergerie","47","730e2804-52e9-4a16-aa27-ee4f97527174"
"64e4de16-65f4-433c-ae4d-18263ce4560e","Adorateur Éclairé","4","5c7d2f5b-807f-43d5-95e1-0d6346a0a77a"
"052da70b-542c-4026-b8b9-418bee4de43e","Adorateur Éclairé","5","5c7d2f5b-807f-43d5-95e1-0d6346a0a77a"
"c9e4411c-3feb-4be9-b225-11b2dfd03590","Iä! Iä!","2","5c7d2f5b-807f-43d5-95e1-0d6346a0a77a"
"85d743d8-46b8-4988-aee3-f3fb4bb75ec0","Visions Abyssales","2","09ef9a30-0515-43e7-afa2-d91b2ddba1f6"
"f7a6fe2c-67eb-4459-b981-3aebebd9b924","Surveillant de la Salle des Ventes","27","35a97d94-a518-4214-8a8f-93a16c9cceec"
"3436d846-3d2c-4763-9a9d-80586f5c176a","Pickpocket","39","35a97d94-a518-4214-8a8f-93a16c9cceec"
"a82576fa-a3b2-461b-95e4-5c165faed057","La Folie des Enchères","29","35a97d94-a518-4214-8a8f-93a16c9cceec"
"c092139e-c22d-4e7b-a79e-c1b635f43bbf","La Folie des Enchères","30","35a97d94-a518-4214-8a8f-93a16c9cceec"
"0a3e762c-115a-4678-9db7-81c13a0ebb20","Concurrence Agressive","32","35a97d94-a518-4214-8a8f-93a16c9cceec"
"bb24e17f-79d1-452f-945e-8a7a7159f136","Concurrence Agressive","33","35a97d94-a518-4214-8a8f-93a16c9cceec"
"f764f3c0-c1ee-440b-bc0c-e40fab42d874","Garder la Main","35","35a97d94-a518-4214-8a8f-93a16c9cceec"
"bf766539-57d1-4d0f-bc86-f6bfba15581b","Garder la Main","36","35a97d94-a518-4214-8a8f-93a16c9cceec"
"3774634d-34d7-4021-b6bc-19885644c533","Traqueur Englouti","22","c8353093-2c2c-49d8-9f63-c363050addc5"
"12aecd04-b925-4e89-91a5-69923744d15a","Murmures des Profondeurs","19","c8353093-2c2c-49d8-9f63-c363050addc5"
"6b0bb943-348f-4789-9e68-f17e78d8a837","Piste Froide","23","c8353093-2c2c-49d8-9f63-c363050addc5"
"494877c3-89b0-478e-9bf3-82bda06e2343","Piste Froide","25","c8353093-2c2c-49d8-9f63-c363050addc5"
"72f9154f-247f-4f9e-b51e-49401e1bb221","Transi jusqu'aux Os","26","c8353093-2c2c-49d8-9f63-c363050addc5"
"f702f062-c69f-4b4b-aa8e-5e5c4e819c9e","Pyromane","15","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"cb4ba695-dd29-4435-92ba-b69fd73a68e2","Pyromane","16","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"5c0fd9e0-7e3b-4b4e-afe6-905a79046e13","Nettoyeur","18","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"3607f31a-a962-409d-bfc6-2e6c1ccb3122","Nettoyeur","19","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"2eb6a8ad-2d87-4de5-bdfd-7ea40cf3e562","Attaque Surprise","21","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"d10c584e-892f-4492-ba7d-d16785216a11","Attaque Surprise","22","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"bb83dd5b-3104-43e5-a5ec-5063bba03c97","Pièces Manquantes","24","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"45cd58af-2aff-4938-9a48-1da8f08c9234","Chiffrement Obscur","26","d93c9b7d-e02d-4fe6-9baf-7f86862a2862"
"3932722c-f59f-4e92-b560-8b8dc7114245","Agent des Profondeurs","32","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"1a61d5de-ad09-4532-acb0-37c6ef9972d8","Agent des Profondeurs","33","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"41dcb3ac-c498-4d6f-9bb4-00feb77cd02b","Nuages de Cendres","35","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"3062479b-d8fc-4f0c-a996-95e6891f0bd0","Nuages de Cendres","36","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"b044a804-05ab-4f97-a38d-f37381767516","Convergence Accidentelle","38","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"39e548c7-1658-4200-8383-b72d6beaf687","Pluie de Cendres","40","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"be328da9-e426-47c4-a67b-5dd368f52568","Conjuration Spatiale","42","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"600fde20-5e12-4533-a112-e42dd5aa684e","Conjuration Spatiale","43","a0ec25ca-eaeb-4c67-9687-06f7e13bb55b"
"d293959b-29fe-4848-98ea-388fdd347944","Espion","4","94a0a56b-8e1f-4385-b103-503b74b07e67"
"91aae336-4da9-4edb-87d5-3b966e5eeaac","Barbouze","6","94a0a56b-8e1f-4385-b103-503b74b07e67"
"fd44df7b-2b09-467b-9f72-16da8e48e88e","À Chaque Coin de Rue","2","94a0a56b-8e1f-4385-b103-503b74b07e67"
"f3689f07-0939-479b-b0cc-c1fb022f1992","Profond Prédateur","2","238a2365-3caa-41d5-90ac-7623b61a17ff"
"74003755-e004-4069-8b0f-7b0155b45e94","Hybride Infiltré","4","238a2365-3caa-41d5-90ac-7623b61a17ff"
"ebb9db88-ba8a-41aa-8154-451bb27066a1","Jaillir des Ténèbres","6","238a2365-3caa-41d5-90ac-7623b61a17ff"
"118db53d-0a0a-4892-985f-9a361f4757a1","Pluie Battante","2","8118d32a-aa58-4deb-ab5a-98bbf71daed5"
"367d53e6-0898-451c-863c-464a8afdba62","Pluie Battante","3","8118d32a-aa58-4deb-ab5a-98bbf71daed5"
"3f2d1851-6154-4f0d-bae1-01ad437fa3bf","Vagues Déferlantes","5","8118d32a-aa58-4deb-ab5a-98bbf71daed5"
"4d09f49b-31db-4575-86b1-d6644e6dbcfb","Vagues Déferlantes","6","8118d32a-aa58-4deb-ab5a-98bbf71daed5"
"0201a7ad-7860-45c3-8f62-51979e360bd0","Rêveur Maudit","33","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"e43ab835-d4e8-422a-bda7-f81646f2cd7f","Progéniture des Profonds","35","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"70b84d0c-7c6b-4a02-80f2-a755980fe972","Angles Incalculables","37","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"ae6f5a73-26c9-480a-a3e1-a85ea70261d7","Angles Incalculables","38","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"e52bdffc-4221-4953-b486-b7ab26b9172c","Paysages Inconcevables","40","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"9462c8d0-e988-4dd6-a6b7-88061baca224","Paysages Inconcevables","41","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"eebbb44c-354d-4717-a882-a3b2028694aa","Au Bord du Vide","43","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"6501df65-a3fc-49dd-8e0c-1f04c7e7f6d5","Au Bord du Vide","44","78d07ec3-e6f2-4060-8cb2-17086c94f19a"
"d5a1547b-05f6-4de6-9204-367c87eeba5d","Maraudeur","6","cdbde307-6a4c-45f4-a0d9-df1507bf46e7"
"b6f35f7e-e0c6-458f-ba3d-9ef7585e3d61","« Vous Devriez Quitter les Lieux… »","2","cdbde307-6a4c-45f4-a0d9-df1507bf46e7"
"f465ff2f-ba70-4343-805a-103c26d2f200","Bagarre de Rue","4","cdbde307-6a4c-45f4-a0d9-df1507bf46e7"
"92e27683-fb87-4b1f-a524-b90aea02febd","Repli Dimensionnel","2","af1d8398-4fca-497b-b57f-4487ea5fb24b"
"f2439602-2603-4fda-a85e-a797423bdc1b","Perspective Impossible","4","af1d8398-4fca-497b-b57f-4487ea5fb24b"
"17ce5d69-cf7c-4608-8694-e55f345a3ab4","Pierre Déformée","6","af1d8398-4fca-497b-b57f-4487ea5fb24b"
